station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
EAST 180 St,6,192,317,177,14,3,22,290,333,20,39,127,578,2,707
EAST BROADWAY,2,28,39,18,5,2,31,11,20,3,25,34,58,0,92
EAST TREMONT Av-WESTCHESTER SQ.,2,9,5,1,2,1,0,3,12,0,3,1,18,0,19
EAST TREMONT Av-WEST FARMS SQ.,2,44,84,52,2,1,4,78,90,2,9,27,157,0,184
EASTERN PKWY-BROOKLYN MUSEUM,0,31,37,9,1,0,3,30,16,2,27,22,55,1,78
ELDER Av,5,58,141,68,4,0,5,70,196,4,2,35,240,2,277
ELMHURST Av,1,51,82,44,5,0,44,4,88,38,9,41,142,0,183
ESSEX St,0,38,43,8,0,1,16,19,24,1,28,26,62,1,89
EUCLID Av,0,26,64,21,2,0,8,65,30,6,4,15,98,0,113
FAR ROCKAWAY-MOTT Av,8,140,250,99,12,1,9,263,199,20,17,80,428,1,509
FLATBUSH Av-BROOKLYN COLLEGE,8,134,157,70,7,0,18,237,78,8,38,95,284,0,379
FLUSHING Av,2,106,188,58,7,0,19,116,124,9,94,69,292,1,362
FORDHAM Rd,2,102,254,122,10,0,9,134,310,14,24,38,453,0,491
FOREST Av,0,4,1,0,0,0,0,2,1,1,1,2,3,0,5
FORT HAMILTON PKWY,3,71,157,89,9,2,80,28,157,14,48,85,244,0,329
FRANKLIN Av,2,183,335,99,2,0,43,249,137,17,176,159,460,3,622
FRANKLIN St,0,9,8,5,0,0,0,8,12,0,2,5,17,0,22
FREEMAN St,3,52,85,26,4,0,4,75,78,7,7,20,150,1,171
FRESH POND Rd,0,6,14,1,1,0,3,5,7,1,6,5,16,1,22
FULTON St,16,398,483,166,17,6,78,367,397,30,202,278,800,2,1080
Fordham Rd/Grand Concource,0,31,43,14,4,0,2,32,51,3,4,8,82,2,92
GATES Av,0,14,21,8,1,0,5,13,13,1,12,13,31,0,44
GRAHAM Av,0,31,74,11,3,0,6,24,45,3,41,27,89,3,119
GRAND ARMY PLAZA,0,5,5,3,0,0,1,6,2,0,5,6,8,0,14
GRAND Av-NEWTON,2,37,97,45,2,4,54,9,87,14,15,53,129,1,183
GRAND St,3,48,55,24,2,0,25,12,37,4,54,39,93,0,132
GRANT Av,0,11,15,7,1,0,4,17,9,2,2,5,29,0,34
GREENPOINT Av,2,14,43,11,2,0,5,14,26,1,26,26,46,0,72
GUN HILL Rd,12,176,292,135,18,0,13,366,214,12,28,52,579,2,633
HALSEY St,0,30,40,14,1,0,4,23,30,1,27,13,71,1,85
HEWES St,0,10,18,7,2,0,3,5,9,3,17,13,22,2,37
HIGH St,0,18,22,12,1,0,10,18,16,0,9,14,38,1,53
HOUSTON St,1,10,12,4,0,0,2,12,6,1,6,7,20,0,27
HOWARD BEACH-JFK AIRPORT,0,3,6,2,0,0,0,6,2,2,1,1,10,0,11
HOYT St,2,45,64,17,1,0,13,68,20,3,25,34,95,0,129
HOYT-SCHERMERHORN,3,168,248,60,8,1,36,179,136,20,115,141,344,2,487
HUNTERS POINT Av,0,6,13,4,0,0,2,5,10,2,4,2,21,0,23
HUNTS POINT Av,9,172,234,71,10,1,8,219,244,8,19,55,444,0,499
INTERVALE Av,1,45,110,35,4,0,9,76,99,2,9,24,171,0,195
JACKSON Av,1,32,86,32,0,0,1,64,78,3,5,20,131,0,151
JAMAICA-VAN WYCK,0,3,5,0,0,0,1,1,6,0,0,1,7,0,8
JAY St-BOROUGH HALL,34,654,532,193,18,9,278,469,338,76,266,406,1022,8,1436
JEFFERSON St,1,96,205,61,3,0,20,49,128,20,149,92,272,2,366
JUNCTION BLVD.,16,352,661,161,13,1,22,18,1097,30,36,287,914,3,1204
JUNIUS St,1,57,74,26,0,0,2,104,33,4,15,21,136,1,158
KINGS HIGHWAY,13,182,372,224,15,2,73,107,200,36,390,229,574,5,808
KINGSBRIDGE Rd,4,61,88,51,10,0,2,67,139,1,5,23,190,1,214
KINGSTON Av,1,13,34,20,2,0,0,33,23,0,14,21,49,0,70
KINGSTON-THROOP Avs,1,14,24,7,3,0,2,25,9,0,13,15,34,0,49
KNICKERBOCKER Av,0,1,1,0,0,0,0,1,0,0,1,0,2,0,2
KOSCIUSKO St,0,12,28,3,0,0,3,9,16,1,14,10,33,0,43
