station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
BOWERY,1,18,28,8,4,0,11,10,16,1,21,17,42,0,59
BOWLING GREEN,0,10,18,7,0,0,0,13,15,1,6,3,32,0,35
BRIGHTON BEACH,3,61,119,87,8,0,22,20,55,17,164,68,209,1,278
BROAD CHANNEL,0,3,2,0,0,0,0,1,1,1,2,0,5,0,5
BROAD STREET,0,9,18,2,0,0,2,3,15,1,8,7,22,0,29
BROADWAY,0,9,18,6,0,0,2,3,21,1,6,1,32,0,33
BROADWAY-EAST NEW YORK,7,71,96,38,2,0,4,116,64,3,27,62,151,1,214
BROADWAY-EASTERN PKWY,0,4,3,1,0,0,0,5,2,0,1,0,8,0,8
BROADWAY/LAFAYETTE,11,299,302,91,18,6,109,121,242,18,226,222,498,2,722
BROADWAY/NASSAU,52,1060,1232,357,59,19,235,1034,914,118,443,690,2064,9,2763
BRONX PARK EAST,2,71,99,43,3,2,28,79,86,5,18,30,188,0,218
BROOK AVENUE,3,99,184,81,10,0,5,151,194,6,22,25,353,0,378
BROOKLYN BRIDGE-CITY HALL,2,27,35,6,0,0,6,17,30,0,17,12,58,0,70
BUHRE AVENUE,0,2,0,1,0,0,0,1,2,0,0,1,2,0,3
BURKE AVENUE,4,28,40,19,4,0,5,56,27,3,4,17,77,1,95
BURNSIDE AVENUE,4,109,159,52,9,1,2,156,157,5,14,29,305,1,335
BUSHWICK AVE.-ABERDEEN ST.,0,3,5,1,0,0,0,1,1,0,7,4,5,0,9
C,10,366,583,204,16,2,55,506,312,34,270,237,938,4,1179
"C,E",4,171,324,128,13,4,77,139,242,29,155,161,484,1,646
CANAL STREET,27,521,604,175,41,5,170,305,472,79,338,368,1000,1,1369
CARROLL STREET,0,8,27,9,0,0,3,3,18,2,18,9,35,0,44
CASTLE HILL AVENUE,2,61,67,41,4,0,16,34,119,3,3,10,165,0,175
CENTRAL AVENUE,0,0,3,0,0,0,0,2,0,0,1,1,2,0,3
CHAMBERS ST.-WORLD TRADE CENTER,2,84,80,29,3,3,16,53,75,8,43,38,159,1,198
CHAMBERS STREET,8,94,115,34,6,1,26,80,104,2,44,66,191,0,257
CHAUNCEY STREET,0,6,10,1,1,0,0,9,5,0,4,3,14,1,18
CHRISTOPHER ST.-SHERIDAN SQ.,5,117,115,19,6,1,16,66,76,15,89,57,206,0,263
CHURCH AVENUE,2,104,171,88,5,0,23,192,110,3,44,81,290,1,372
CITY HALL,1,4,4,0,0,0,5,1,1,0,2,3,6,0,9
CLARK STREET,2,12,4,3,0,0,2,5,7,1,6,6,15,0,21
CLASSON AVENUE,0,12,6,2,1,0,4,8,5,0,4,5,16,0,21
CLEVELAND STREET,0,1,0,1,0,0,0,1,1,0,0,0,2,0,2
CLINTON-WASHINGTON AVENUES,0,60,95,27,2,0,15,36,55,5,73,63,121,0,184
CORTELYOU ROAD,1,5,5,0,0,0,0,6,2,0,3,5,6,0,11
CORTLANDT STREET,0,20,29,6,3,2,7,11,27,1,10,9,48,1,58
COURT SQUARE,0,13,26,9,0,0,6,6,28,3,5,13,35,0,48
COURT STREET,0,1,6,4,1,0,1,4,3,1,3,7,5,0,12
CRESCENT STREET,1,14,20,16,2,0,0,5,42,3,3,9,44,0,53
CYPRESS AVENUE,2,34,35,21,3,0,1,25,65,1,3,11,84,0,95
CYPRESS HILLS,0,2,0,2,0,0,0,1,2,0,1,1,3,0,4
D,4,168,396,239,19,4,141,83,409,28,161,224,601,1,826
"D,F,N,Q",15,307,638,350,44,2,74,576,423,31,250,323,1031,2,1356
"D,N,R",3,211,388,186,14,2,105,159,327,38,172,244,558,1,803
DEKALB AVENUE,13,305,505,158,23,3,138,190,278,35,360,317,683,4,1004
DELANCEY STREET,16,412,499,172,22,6,157,245,329,36,352,327,794,4,1125
DISTRICT 1 OFFICE,1,6,8,2,0,0,1,7,10,0,0,4,14,0,18
DISTRICT 11 OFFICE,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
DISTRICT 12 OFFICE,0,1,1,0,0,0,0,0,2,0,0,0,2,0,2
DISTRICT 2 OFFICE,0,1,1,0,0,0,0,0,1,0,1,2,0,0,2
DISTRICT 20 OFFICE,0,1,1,0,0,0,1,0,1,0,0,0,2,0,2
DISTRICT 23 OFFICE,0,0,1,1,0,0,0,1,0,0,1,1,1,0,2
DISTRICT 3 OFFICE,0,0,5,0,0,0,0,3,1,0,1,2,3,0,5
DISTRICT 30 OFFICE,0,2,2,0,0,0,0,3,0,0,1,1,3,0,4
